,_,mrw,sentence
55,,situation exploited thing drawing in,Given the already appalling and growing rate of homelessness and lack of hostel facilities in London when more people than ever will not only have to endure the freezing nights of the coming winter on the streets but perhaps permanent homelessness it was terrible to see the situation being exploited for a joke by your advertisement Just the thing now the evenings are drawing in
56,,has on fixed-,How much independence do you suppose a person has who exists on the fixed- Giro of £34.90 a week
57,,contents made,Sir The contents of Sarah Helm 's article Immigration checks to be made on trains 25 September are extremely worrying
58,,promoted by,During the recent European Community elections the representatives of EC governments promoted the ideal of a border-free Europe by 1992
59,,appear from this this shattered -tiered on cards,Now it would appear from this article that this ideal is shattered and a -tiered Europe is on the cards
60,,to scenes,The presence of immigration officials and police on board trains is comparable to the scenes of 1930s America where migrant labourers were turned back at state boundaries
61,,in,What criteria would police and immigration officials use in their search for potential terrorists on a train that they could not use at a static checkpoint or airport
62,,This clear extension where to,This is a clear example of the extension of the Prevention of Terrorism Act where criteria for stopping questioning and searching are purely subjective to the official involved
63,,that,Will a person 's accent dress or skin colour indicate the potential terrorist or for that matter football hooligan or drug pusher
64,,This recipe,This is a recipe for fear and anxiety
65,,nearer with,Sir The North-east publishers of Viz are nearer the truth than they realise with their soccer strip 29 September
66,,cross bear to members,Cardinal Hume has not only the cross of being a fervent Newcastle United supporter to bear he is also known to irreverent members of Mayfair 's Jesuit Farm Street Church by his initials George Basil Hume
67,,missed by took,DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West including some who missed by only a few minutes a train that took more than 800 of their compatriots to West Germany
68,,missed pulled at carrying bound,The one they missed pulled out from Warsaw 's East Station at 2.50am yesterday carrying 809 cheering East Germans bound for the Rhine region of West Germany
69,,upon,Once upon a time another German government let Lenin cross another Germany in a sealed train on his way to Russia
70,,from in,More than 80 years later Lenin 's heirs are allowing refugees from their Communist regime escape in the opposite direction in an East German-made train travelling across East German territory
71,,from,I still do n't know if my family know where I am or if they will suffer from my decision
72,,saw way out have,But I saw no other way out I did n't know if I would ever have a chance again
73,,in,Some of the refugees had been living in Polish exile for as long as seven weeks while others arrived only a few hours before West German diplomats announced they could leave
74,,decision came to,The East German government 's decision to let the refugees leave across their own country came as a surprise to many including some West German diplomats
75,,accompany rules followed,Some of the refugees originally refused to touch East German territory again but were reassured when two of the West German diplomats said they would accompany the train to ensure that the rules were followed
76,,under rules,Legally the refugees have been expelled from East Germany meaning that under current rules they can not return
77,,arrangement designed,According to unofficial reports the arrangement was designed by the West German Foreign Minister Hans Dietrich Genscher the new Polish foreign minister Krzystof Skubiszewski and the Soviet Foreign Minister Eduard Shevardnadze who met recently at the United Nations in New York
78,,welcomed home after in,THE PEOPLE of Montenegro yesterday welcomed home the remains of Nicholas I their first and last king after 70 years ' exile in Italy in belated fulfilment of his last will and testament
79,,bring,Thousands of Montenegrins many in national costume waited at the quayside in Bar for the Italian warship that would bring him home
80,,describing ride wave swept in,What was surely the last ever Montenegrin royal event was masterminded by the republic 's new Communist leadership which has abruptly stopped describing Nicholas as a class enemy to ride the same wave of popular patriotism and royal fervour which swept Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo
81,,calls,The latest biography now calls him an outstanding statesman warrior and man of letters
82,,in rest will to,If I die abroad in exile let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland said the Montenegrin President Branko Kostic reading the royal will and testament to the crowds in Cetinje Square who carried flags and portraits of Nicholas and his queen Milena
83,,guided went on,Today the people of Montenegro fulfill the wish of their first and last king guided by innate love and respect for their history he went on
84,,counting on big member,Our tourist organisations are counting on big profits said Srdan Darmanovic a member of the Montenegrin Central Committee
85,,This,This will be good for the Montenegrin economy too
86,,young came to power this amid furious with organised,Montenegro 's young and go-ahead leadership which came to power this year amid furious popular dissatisfaction with the old men in grey suits sponsored the gathering of Nicholas 's surviving relatives the first royal reunion organised by a Communist government
87,,through member distant,A letter dropped through the post from the President of the Socialist Republic of Montenegro inviting me to the funeral said John Kennedy a Conservative Party member who lives in Barking and is a distant relative of Nicholas
88,,rehabilitation move,Montenegro 's sudden rehabilitation of Nicholas 's memory is a popular move
89,,from,He liberated us from the Turks and fought for our independence said a small boy who waited at the quayside amid a jostling crowd of former monarchs visiting Serbian bishops and television crews
90,,given with,Marko Radoman 103 and a veteran of both Balkan wars was given a place at the front as one of the few with personal memories of Nicholas 's reign
91,,repulsive in tinted view,For a man whom Rebecca West a contemporary Balkan observer called repulsive and treacherous for deserting his Serbian son-in-law King Alexander in the First World War it is a tinted view of history
92,known as,uncle in into,Nicholas was known as the uncle of Europe for his success in marrying his beautiful but penniless daughters into the grander royal houses of Russia Serbia and Italy
93,,This rule collapsed,This furthered his long-term ambition to rule a large south Slav kingdom when the Ottoman Empire finally collapsed
94,,footnote in to,One daughter a grand duchess of Russia even gained a footnote in history by introducing an unknown monk Rasputin to the Russian Tsarina Alexandra
95,,has,"In his minute inaccessible capital which today has only 15,000 inhabitants Nicholas erected a miniature European court and an exquisitely furnished Victorian palace"
96,,powers turn into,He even persuaded 12 European powers to turn cottages into full embassies
97,,fair,It was a fair achievement in a town which an earlier observer described as 44 hovels
98,,design collapsed in into,But Nicholas 's grand design collapsed in 1918 when his Serbian son-in-law Alexander deposed him and incorporated Montenegro into Yugoslavia
99,,formed mixture,VIRGIL THOMSON was a composer and writer of originality courage and wit formed by a unique mixture of American and French influences
100,,in studied until,Thomson was born in Kansas City in 1896 studied at Harvard and then mostly lived in Paris until 1940
101,,gave access to introduced to,His Missouri childhood gave him access to Baptist hymns and church music but at Harvard he was introduced to the writings of Gertrude Stein and the music of Erik Satie
102,,These laid foundations blend hallmark,These influences laid the foundations for the blend of the naive and the sophisticated which is the hallmark of Thomson 's maturity
103,,studied with after set out found in,Like many young American composers he studied with Nadia Boulanger but after 1925 set out to achieve the discipline of spontaneity which he found in Stein 's writings
104,,directly in historical,When he collaborated directly with her in opera the result was of historical significance
105,,came in in demonstrated plotless reaching wider currency through,First came Four Saints in Three Acts produced in 1934 and then The Mother of Us All 1947 which demonstrated a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass
106,,In given free reign stuck to figured,In Four Saints Thomson 's informality was given free reign since he first of all improvised the music at the piano then when it stuck wrote it down to a figured bass
107,,piece drenched in running from to back rise sail,He said I had wondered whether a piece so drenched in Anglican chant running from Gilbert and Sullivan to Morning Prayer and back could rise and sail
108,,mixture at intoxicating sensation,But the resulting mixture of hymns folksy tunes and recitatives at times of intoxicating banality was a sensation
109,,used cast gave connection,The opera like Gershwin 's Porgy and Bess the following year used an all-Black cast and the staging and choreography gave it a British connection since it was by Frederick Ashton
110,,shows upon in,The Mother of Us All shows more continuity but again much depends upon production in what is still a largely non-narrative opera
111,,In before scores model clarity materials suit Broke with approach,In 1936 three years before Aaron Copland Thomson started writing film scores which were a model of unobtrusive clarity and pertinence combining American materials to suit documentaries such as The Plow that Broke the Plains and The River with the musique d'ameublement approach of Satie
112,,score awarded in,His score for the film Louisiana Story was awarded the Pulitzer Prize in 1948
113,,to portraits,Another response to a visual stimulus was Thomson 's series of musical portraits of people such as Picasso and Aaron Copland
114,,these in about,The first of these was written in 1928 and they number about 150
115,,transferred to these portraits employ painter technique drawing sitter from habit immediate with subject,Just as Thomson transferred Stein 's literary abstraction to music so these portraits unusually employ the painter 's technique of drawing the sitter from life an ideal combination of Thomson 's habit of immediate response with an actual subject
116,,control with,Thomson could control words with the same fastidiousness as notes
117,,felt began lost,He always felt that effective musical criticism began by being well written and he never lost his liveliness
118,,in assessment machinery at,He started by writing occasional articles but in 1939 he wrote The State of Music a trenchant and provocative assessment of the machinery of the musical profession at the time
119,,From to notices appeared in form,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book form
120,,on appeared in followed,He wrote a fulsome 400-page autobiography characteristically entitled Virgil Thomson on Virgil Thomson and a personal survey American Music since 1910 appeared in 1972 followed recently by a selected edition of his letters
121,,touched sides coin climate,As both composer and critic he touched both sides of the coin A climate of receptivity is what the artist most desires
122,,thing,It is also a thing that even the most experienced reviewer can not always offer
123,,about invited,Thomson 's judgements about music were not always as accurate as his confident expression implied he invited discussion
124,,Above restored focus onto,Above all he restored the focus of music criticism onto the music itself
125,,made in reaction to register,He made no secret of his Francophile enthusiasms in reaction to the earlier domination of American music by Germans and he was one of the first writers to register the importance of jazz
126,,attacked pitched into,He fearlessly attacked convention which caused problems when he pitched into established reputations
127,,belonged to,It has become increasingly apparent that Thomson belonged to the American experimental tradition
128,,in,He anticipated some of the enthusiasms of John Cage whom he first met in 1941
129,,recognised repaid section on,A few years later Thomson recognised Cage as the most original composer in America if not the world and Cage repaid the compliment by writing the works section of a monograph on Thomson
130,,roots in felt destructive,But finally in spite of their common roots in Satie and Stein Thomson felt that Cage 's aesthetic was destructive
131,,contain finest,Thomson 's songs contain some of his finest work
132,,settings Portrait cycles based on,There are Stein settings such as Portrait of FB but also cycles such as Five Songs from William Blake Prayers and Praises and a cantata based on poems by Edward Lear
133,,prolific in on scale,Thomson was also prolific in instrumental music on both chamber and solo scale
134,like,buzzard in eyrie make forays advanced,From there like a buzzard in its eyrie he would make forays round the US and abroad in spite of his advanced age
135,,indestructible landmark in bothered,He seemed a genial and indestructible landmark in the history of American music in spite of defective hearing which had bothered him since the late Seventies
136,,following,He had a photograph of himself on his postcards and he signed his letters following the original tailpiece everbest
137,,came from find way without,Thomson came from a generation of American composers which had to find its own way without benefit of university patronage
138,,In that free market,In that kind of free market he thrived and survived and so will the best of his work
139,,outstanding in,THOMI KELLER is the outstanding figure in the history of international rowing
140,,body this body attitudes practices reflect force,He was President of FISA Federation Internationale des Societes d'Aviron the world governing body for 30 years and most of this body 's attitudes and practices reflect the force of his strict but genial personality
141,,bellowing in at broken arrangements designed make fair,Most athletes first encountered him as a voice bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair
142,,loosen links with projected upwards into,He did not loosen his links with the athletes when projected upwards into the Presidency
143,,found from,Provided their behaviour was sportsmanlike and safe oarsmen found only encouragement and humour from a President who was always among them
144,,made into,Keller 's Zurich upbringing made him into a skiier and sculler and he raced for the Grasshopper club
145,,on,He competed for the Swiss cross-country and ski-jumping team at the Student Winter Games and later concentrated on single sculls
146,,In in before,In 1950 he was Swiss sculls champion and finished third in the European championships before moving to Manila to work for his family 's private multinational company Eduard Keller Ltd for four years
147,,On in after,On his return Keller was Swiss champion again in 1955 and was bitterly disappointed when the Swiss chose to boycott the 1956 Olympics after the Russian intervention in Hungary
148,,body organised participated in running,FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas
149,,earmarked in in,As a rich forceful young man Keller had been earmarked as a likely future president even before Mullegg was killed in an aircrash in 1958
150,,in breadth depth over,Rowing was transformed in the breadth and depth of participation over the 30 years of his term
151,,sat on boards,He sat on the appropriate boards of the International Olympic Committee and was President of the General Assembly of International Sports Federations for 17 years
152,,These positions held status cause where needed,These positions were not held for his own status but to promote the cause of rowing where it needed clout
153,,defended in introduced expanded to,He successfully defended rowing as an Olympic sport and in 1976 introduced women 's events which have now expanded to six classes
154,,over assisted to,His personal preference for sculling over rowing assisted the introduction of quadruple sculls to world championship and Olympic competition
155,,made in -lane courses emerged under guidance threat to in,Keller was made a Steward of Henley Royal Regatta in 1976 a time when the proliferation of new -lane still-water courses around the world which had emerged under his guidance seemed a threat to the regatta founded in 1829
156,,spirit with presented with took yardstick circuit,But it was the spirit of Henley with huge crowds enjoying amateur sport presented with administrative finesse which Keller took as the yardstick for the international circuit
157,,play part umpire between far below standard,He loved the place and he returned every year to play an often small part as umpire of races between undistinguished clubs far below the Olympic standard he was obliged to administer
158,,this in thing,He said this summer that as he gradually wound down his involvement in sport Henley would be the last thing he would give up
159,,reduced role in headquarters,During his term as President of FISA he gradually reduced his role in Eduard Keller Ltd and used the company offices to provide a world headquarters for rowing
160,,obliged find from sources replace,The sport is now obliged to find income from the more normal sources of television and sponsorship to replace his largely unacknowledged private patronage
161,,to abuse,In spite of his gift to the sport Keller was anxious not to abuse his status as President and never went to a rowing event unless invited
162,,this until this,Because of this he had never seen the Oxford and Cambridge boat race until this year
163,,make between rank in top into bigger,He was enthralled by the entire proceeding and remarked that only the English could make a contest between two crews which would not rank in the World 's top 10 into a bigger spectacle than the Olympic final
164,,set weed out of courses made unfair,The final task he set himself for his Presidency which was due to end next year was to weed out of the Regatta calendar all the rowing courses which could be made unfair by the wind
165,,on fair throughout,It was a blessing that in response to congratulations on the superb World Championship Regatta at Bled in Yugoslavia three weeks ago he was able to reply Yes and best of all the conditions were fair throughout
166,,throws spanner in machinery,The Labour Party Conference Policy review throws a spanner in the Whitehall machinery
167,,INCOMING turn upside down considers plans,AN INCOMING Labour government would turn large areas of Whitehall upside down but the party 's policy review barely considers the implications of its plans for restructuring government departments
168,,Scattered through status within Set up Set up,Scattered through the policy review are proposals to Drastically alter the status and organisation of the Department of Trade and Industry Create two departments a Department of Consumer Affairs and a Department for Legal Administration Create a Department of Environmental Protection within the existing Department of the Environment Set up a plethora of new commissions and executive agencies Set up a Women 's Ministry
169,,Those in,Those are only the most overt changes advocated in the review papers
170,,escapes,The only department which explicitly escapes unscathed is the one which Conservatives would most like to abolish the Department of Energy
171,,In aim aim upset order inherits,In virtually every case the aim of causing upheaval is explicitly declared because Labour 's aim would be to upset the bureaucratic order it inherits
172,,designed act irritants within system,New departments and quangos would according to the review be designed to act as irritants and antagonists within the Civil Service system
173,,nowhere considers co-ordinated,But the policy review nowhere considers the overall effect of the individual changes proposed or how they might be co-ordinated
174,,contemplate rebuilding machine,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine
175,,centrepiece,The medium term industrial strategy which would form the centrepiece of Labour 's economic policy would according to the Productive and Competitive Economy review group be administered by a transformed Department of Trade and Industry
176,,adds seek have status that,The review adds What we now seek is a DTI which will have an equal if not superior status to that of the Treasury
177,,That approach seek knock out keystone,That approach would seek to knock out a keystone of Civil Service tradition
178,,sought challenge in,Labour policy has long sought to challenge the Treasury 's dominance in government
179,,set up headed in,But its last effort the Department of Economic Affairs set up by Harold Wilson and headed by George Brown ended in futile departmental and ministerial infighting
180,,at supreme with determing in,There would in addition be a minister for Science and Technology at the newly supreme DTI with responsibility for determing investment in research
181,,mention in that,There is no mention in the education policy of how that might affect the Department of Education and Science
182,,override powerful antagonise,But while the DTI would override the Treasury a new powerful Department of Consumer Affairs would antagonise the DTI
183,,headed rank act voice with,It would be headed by a minister of Cabinet rank and act as the consumers voice with other government departments '
184,,intrusion wide with watching brief over ability,Its remit for inter-departmental intrusion would be wide with a watching brief over government action and the ability to initiate consumer legislation
185,,given,Only the Women 's Ministry would be given equal license
186,,able require,It would be able to require each government department to review its policies practices and existing and proposed legislation
187,,born extended oldest shadow present self,While new departments are born and others extended one of the oldest the Home Office would become a shadow of its present self
188,,take over,Labour 's proposed Department for Legal Administration would take over responsibility for courts and tribunals court procedures organisation training and appointment of the legal profession magistracy and judiciary legal aid legal services and the Sentencing Council
189,,That leave with,That would leave the Home Office with policing penal policy and the criminal law
190,,given to,Responsibility for the Sex Discrimination Act the Equal Pay Act and the Equal Opportunities Commission would be given to the Women 's Ministry
191,,having rank member proper on,The concept of a minister having Cabinet rank and therefore implicitly not being a member of the Cabinet proper crops up again on environment
192,,operate inside,A new Minister of Environmental Protection would operate inside the DoE
193,,That work conflicts interest with,That could work though it is easy to imagine conflicts of interest with the housing and planning functions of the department
194,,plan,More problematic will be Labour 's plan for the Ministry of Agriculture Fisheries and Food
195,,says,The priority of MAFF must become food not farming the policy review says
196,,concerns,Its main concerns would become food and the people who consume it not farming and those who produce it
197,,over split between transfer to Standards,But the regulatory functions over the food industry now split between MAFF and the Department of Health would transfer to a new Food Standards Agency
198,,That bodies recommended,That is the first of many agencies executives commissions and other quango-like bodies recommended by the review
199,,In merge replace bodies,In some cases Labour 's quangos merge existing ones or replace well-established bodies
200,,higher body,The funding of higher education would become the responsibility of one body rather than two
201,,replace,Labour 's Quality Commission would replace the Audit Commission
202,,interest,But there would be new regulatory commissions and consumer councils for every utility along with ombudsmen and public interest commissioners appointed by the Secretary of State
203,,Fair Standards administered,There would be Skills UK a locally structured training commission a Fair Wages Commission a Health Technology Commission a Health Quality Commission an Education Standards Council an Independent Sentencing Council a Children 's Commissioner an Environmental Protection Executive and a Social Insurance Fund administered by an independent commission
204,,accept,The Labour Party Conference Cook appeals for Labour to accept electoral reform
205,,back made leading Shadow member decided oppose,AN IMPASSIONED appeal for Labour to back electoral reform was made by a leading Shadow Cabinet member yesterday after the national executive decided overwhelmingly to oppose a proportional representation motion
206,,member sought force on,Robin Cook a member of the national executive and the health spokesman said that a Labour government which sought to force its programme on an unwilling nation would be unsocialist
207,,Co-ordinating,He told a Labour Co-ordinating Committee rally that it was not enough for Labour to win the next election
208,,smash decrepit effete constitution allows capture power use in interests,It would also be necessary to smash the decrepit effete constitution that allows a minority to capture power and then use it ruthlessly in the interests of the privileged few
209,,forced on in power ram down throats,Mr Cook argued that 10 years of Thatcherism had been forced on most people who had never voted Conservative and that many of those who opposed PR in the Labour Party wanted to use the same undemocratic power to ram socialism down the throats of a majority who did n't vote for it
210,,system way delivering strong,Advocates of the first-past-the-post system argued that it was the only way of delivering strong government Mr Cook said
211,,after had enough that approach to,But after 10 years of Tory rule he had had enough of that approach to politics
212,,acquiescing in arguing got long turn,Labour would be acquiescing in a democratic outrage if it continued arguing that because the Conservatives had got away with being undemocratic for so long it was now Labour 's turn
213,,build in pull towards centre ground from radical,Mr Cook also countered the argument that PR would build in a pull towards the centre ground preventing Labour from implementing a radical programme
214,,make that clear whole designed centre ground,It seemed strange to make that argument Mr Cook said when it was clear the whole policy review process was designed to placate the centre ground
215,,see system after inferior to system obliged before,I can not honestly see that a system which would require us to compromise the morning after the election is really so morally inferior to a system which has already obliged us to compromise our policies two years before polling day
216,,came in on,His speech however came aftera 24-4 vote in the national executive to oppose a proportional representation motion which will be debated on Thursday
217,,against demonstrated giving power to,Mr Livingstone said he was against pacts but 10 years of Thatcherism had demonstrated the dangers of giving power to elites
218,,giving power to centre,Mr Hattersley said giving disproportionate power to small minority centre parties would not improve democracy
219,,in system tactical get rid,Mr Kinnock said it was wrong to propose a fundamental change in the voting system for a short-term tactical vote to get rid of the Thatcher Government
220,,way remove,The only way to remove the Government was for Labour to win the next general election
221,,reinforce conviction in position in,Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow
222,,show before leaving free sell package to without about splits,Party organisers want the conference to show that the party is united as never before leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits
223,,close on,There is expected to be a close vote on defence but Mr Kinnock is confident the new policy will be affirmed today
224,,recommending calling,The executive is recommending rejection of a motion calling for unilateral disarmament
225,,urging oppose supported commit to power within,It is also urging the conference to oppose a motion supported by the National Union of Mineworkers to commit a Labour government to abolishing all nuclear power within 15 years
226,,over rejection reduced to,There could also be controversy over the executive 's rejection of demands for the age of consent for homosexuals to be reduced to 16 years
227,,Pint-sized rollers in ahead,PUB ROCK / Pint-sized rock n rollers Jim White selects the best of the London pub venues and gigs in the weeks ahead
228,,rule comes complete decent,GENERAL TIPS A general rule for pub rock patrons is that the quality of music will be in inverse proportion to the quality of the beer except at Finsbury Park 's Sir George Robey where an excellent music policy comes complete with a decent pint of Guinness
229,,rule thumb obliged rest,Another rule of thumb is that if the act is obliged to rest their microphone stand and amplifiers on beer crates instead of the stage it will be a good evening
230,,those above where from those where through way,There are two types of pub rock occasions those like the one described above where the band is likely to suffer from agrophobia and those where the pub is so crowded death through asphixiation seems to be the only way to get out
231,,half-way house,There is no half-way house
232,,comfortable after,If it 's a comfortable evening 's entertainment you 're after stay at home with the video
233,,up,Dress varies but will never be up
234,,manage in way circuit ripe with handles,WHO TO WATCH While the best that chart music can manage in the way of band names is Black Box the pub circuit has always been ripe with imaginative handles
235,,bending this,Cheerfully bending ears this week somewhere in London are Bald Howlin' Bastard Daisy Chainsaw The Wandering Crutchless Benny Profane The Gordon Jackson Five and New Fast Automatic Daffodils
236,,have,We have no idea whether the music matches the nomenclature but it must be worth £5 of anyone 's money to encourage them
237,,THIS plethora surrounding that attached to release,PLAYING THIS WEEK TONIGHT Bop Brothers Blues Band The plethora of litigation surrounding Blues Brothers lookalikes almost matches that attached to the release of Wired the unofficial biography of the original brother John Belushi
238,,this set before out dark material,Suffice to say whether Boogie Bop or simply Blues this set of Brothers whatever they once were before they fell out and dispatched solicitors to sue their siblings will be wearing dark glasses pork pie hats black side-burns and will be playing Stax/Atlantic type material
239,,that before,Loud and tuneless but has that ever been a problem before
240,,below,King 's Head Fulham details below 8pm £2
241,,Loaded -about regarded destined bigger stadia self-destruct,Well Loaded Much -about guitar rockers generally regarded as destined for the bigger stadia of life unless they self-destruct en route
242,,Catch,Catch them young
243,,with,The Vapour Corporation Power pop which means do n't expect to leave with your eardrums intact
244,,beat this do,Johnny Mars Blues Band Unrepentant Smiths fans need not beat a path to the door this is nothing to do with Johnny Marr
245,,Free,Dog & Trumpet 38 Great Marlborough St W1 437 5559 8pm Free
246,,lead -absorbed doodlings,Primal Scream Not a name which would lead you to expect -absorbed acoustic doodlings
247,,long-haired get,Which is just as well because long-haired rock is what you will get
248,,appetising brief foray into in,FRIDAY Dr & The Medics Silly hippies in Roy Wood cast-off costumes do n't sound like the most appetising evening out and their brief foray into the charts was a considerable embarrassment but the good Dr 's tongue is in the right place in his cheek and a jolly time is guaranteed
249,,In those on way up those go circuit to those,MON 9 OCT Steve Marriott & Mickey Hutton In among those on their way up and those who will never go anywhere the pub rock circuit plays host to those who were once really something
250,,that on Top Lazy,Marriott was the chirpy Cockney sparrer who lead The Small Faces who performed that strange pigeon-toed shuffle on Top of the Pops and wrote Lazy Sunday Afternoon
251,,remains strong,Now he steps out on beer-stained carpets and decaying floor-boards but the conviction remains as strong
252,,in,Not in truth a pub rock venue but certainly a pub rock act
253,,sweaty,Small but perfectly formed for pub rocking ie sweaty and restricted view from all but the front three rows
254,,level oppressive has,The front bar if the noise level becomes too oppressive has prints of Lester Piggott decorating the wall and a pool table
255,,temple to,Dublin Castle 94 Parkway NW1 485 1773 Beloved of Camden 's grunge rock enthusiasts a temple to R'n'B complete with priceless memorabilia decorating the brown-painted or nicotine-stained walls
