,Jargon_Terms,Jargon_Type,is_Jargon
588,what a good idea!,French,True
589,quel dommage !,French,True
590,quel horreur !,French,True
591,quelle surprise !,French,True
592,what a surprising thing!,French,True
593,roux,French,True
594,raconteur,French,True
595,a storyteller.,French,True
596,raison d'être,French,True
597,rapport,French,True
598,rapprochement,French,True
599,reconnaissance,French,True
600,renaissance,French,True
601,répertoire,French,True
602,reportage,French,True
603,restaurateur,French,True
604,a restaurant owner.,French,True
605,riposte,French,True
606,rive gauche,French,True
607,roi fainéant,French,True
608,rôle,French,True
609,roman à clef,French,True
610,roué,French,True
611,roux,French,True
612,sang-froid,French,True
613,sans,French,True
614,without.,French,True
615,sans-culottes,French,True
616,sauté ,French,True
617,savant,French,True
618,savoir-faire,French,True
619,savoir-vivre,French,True
620,sobriquet,French,True
621,soi-disant,French,True
622,soigné,French,True
623,soirée,French,True
624,sommelier,French,True
625,soupçon,French,True
626,soupe du jour,French,True
627,succès d'estime,French,True
628,tableau vivant,French,True
629,tableau,French,True
630,tableau vivant,French,True
631,tenné,French,True
632,tête-à-tête,French,True
633,toilette,French,True
634,torsades de pointes,French,True
635,touché,French,True
636,tout court,French,True
637,tout de suite,French,True
638,tranche,French,True
639,triage,French,True
640,trou de loup,French,True
641,tricoteuse,French,True
642,trompe-l'œil,French,True
643,trou de loup,French,True
644,va-et-vient ,French,True
645,venu(e),French,True
646,vin de pays,French,True
647,salad with vinaigrette dressing,French,True
648,vinaigrette,French,True
649,vis-à-vis (also vis-a-vis),French,True
650,vive ,French,True
651,vive la différence !,French,True
652,"lit. """,French,True
653,voilà !,French,True
654,volte-face,French,True
655,voyeur,French,True
656,zut alors!,French,True
657,accoutrement,French,True
658,appliqué,French,True
659,après-ski,French,True
660,artiste,French,True
661,arrêt à bon temps,French,True
662,auteur,French,True
663,au naturel,French,True
664,à la mode,French,True
665,bête noire,French,True
666,boutique,French,True
667,boutonnière,French,True
668,cause célèbre,French,True
669,chacun à son goût,French,True
670,chanson,French,True
671,château,French,True
672,chef,French,True
673,cinq à sept,French,True
674,claque,French,True
675,connoisseur,French,True
676,corsage,French,True
677,début,French,True
678,décolletage,French,True
679,démarche,French,True
680,dépanneur,French,True
681,émigré,French,True
682,encore,French,True
683,en masse,French,True
684,en suite,French,True
685,entrée,French,True
686,épée,French,True
687,escritoire,French,True
688,exposé,French,True
689,femme,French,True
690,fin de siècle,French,True
691,forte,French,True
692,hors d'oeuvre,French,True
693,la sauce est tout,French,True
694,marquee,French,True
695,nostalgie de la boue,French,True
696,outré,French,True
697,passé,French,True
698,peignoir,French,True
699,pièce d'occasion,French,True
700,portemanteau (pl. portemanteaux),French,True
701,potpourri,French,True
702,précis,French,True
703,première,French,True
704,raisonneur,French,True
705,recherché,French,True
706,rendezvous,French,True
707,reprise,French,True
708,résumé,French,True
709,risqué (also risque) ,French,True
710,sexually suggestive;,French,True
711,rouge,French,True
712,séance ,French,True
713,touché,French,True
714,vignette,French,True
715,found only in english,French,True
716,a canadian aide-de-camp,French,True
717,aide-de-camp,French,True
718,cinquefoil,French,True
719,cri de cœur,French,True
720,demi-monde,French,True
721,double entendre,French,True
722,in lieu (of),French,True
723,léger de main (legerdemain),French,True
724,maître d',French,True
725,negligée,French,True
726,succès de scandale,French,True
727,voir dire,French,True
728,securitay,French,True
729,pan pan,French,True
730,mayday,French,True
731,seelonce,French,True
732,seelonce fee nee,French,True
733,pru donce,French,True
734,may dee cal,French,True
735,ab absurdo,Latin,True
736,ab abusu ad usum non valet consequentia,Latin,True
737,ab aeterno,Latin,True
738,ab antiquo,Latin,True
739,a bene placito,Latin,True
740,ab epistulis,Latin,True
741,ab extra,Latin,True
742,ab hinc,Latin,True
743,ab imo pectore,Latin,True
744,ab inconvenienti,Latin,True
745,ab incunabulis,Latin,True
746,ab initio,Latin,True
747,ab intestato,Latin,True
748,ab intra,Latin,True
749,ab invito,Latin,True
750,ab irato,Latin,True
751,ab origine,Latin,True
752,ab ovo usque ad mala,Latin,True
753,absens haeres non erit,Latin,True
755,absit iniuria,Latin,True
756,absit invidia,Latin,True
757,absit omen,Latin,True
758,absolutum dominium,Latin,True
759,absolvo,Latin,True
760,abundans cautela non nocet,Latin,True
761,ab uno disce omnes,Latin,True
763,abusus non tollit usum,Latin,True
764,ab utili,Latin,True
765,abyssus abyssum invocat,Latin,True
766,a caelo usque ad centrum,Latin,True
767,a capite ad calcem,Latin,True
768,accipe hoc,Latin,True
769,accusare nemo se debet nisi coram Deo,Latin,True
770,a contrario,Latin,True
771,acta deos numquam mortalia fallunt,Latin,True
772,acta est fabula plaudite,Latin,True
773,acta non verba,Latin,True
774,acta sanctorum,Latin,True
775,actiones secundum fidei,Latin,True
776,actus me invito factus non est meus actus,Latin,True
777,actus non facit reum nisi mens sit rea,Latin,True
778,actus reus,Latin,True
779,ad absurdum,Latin,True
780,ad abundantiam,Latin,True
781,ad acta,Latin,True
782,ad altiora tendo,Latin,True
783,ad arbitrium,Latin,True
784,ad astra,Latin,True
785,ad astra per aspera,Latin,True
786,ad augusta per angusta,Latin,True
787,ad captandum vulgus,Latin,True
788,ad clerum,Latin,True
789,a Deucalione,Latin,True
790,ad eundem,Latin,True
791,ad fontes,Latin,True
792,ad fundum,Latin,True
793,ad hoc,Latin,True
794,ad hominem,Latin,True
795,ad honorem,Latin,True
796,ad infinitum,Latin,True
798,ad kalendas graecas,Latin,True
800,ad litem,Latin,True
801,ad lucem,Latin,True
803,ad meliora,Latin,True
804,ad mortem,Latin,True
805,ad multos annos,Latin,True
806,ad nauseam,Latin,True
807,ad oculos,Latin,True
808,ad pedem litterae,Latin,True
809,ad perpetuam memoriam,Latin,True
811,ad quod damnum,Latin,True
812,ad referendum,Latin,True
814,ad rem,Latin,True
815,ad sumus,Latin,True
816,ad susceptum perficiendum,Latin,True
817,ad terminum qui praeteriit,Latin,True
818,ad undas,Latin,True
819,ad unum,Latin,True
820,ad usum Delphini,Latin,True
822,ad utrumque paratus,Latin,True
823,ad valorem,Latin,True
824,ad victoriam,Latin,True
825,ad vitam aeternam,Latin,True
826,ad vitam aut culpam,Latin,True
827,addendum,Latin,True
828,adaequatio intellectus et rei,Latin,True
829,adaequatio intellectus nostri cum re,Latin,True
830,adsum,Latin,True
831,adversus solem ne loquitor,Latin,True
832,advocatus diaboli,Latin,True
833,aegri somnia,Latin,True
834,aetatis,Latin,True
835,aetatis suae,Latin,True
836,a falsis principiis proficisci,Latin,True
837,affidavit,Latin,True
838,a fortiori,Latin,True
839,age quod agis,Latin,True
841,Agnus Dei,Latin,True
842,alea iacta est,Latin,True
843,alenda lux ubi orta libertas,Latin,True
844,alias,Latin,True
845,alibi,Latin,True
846,His alibi is sound; he gave evidence that he was in another city on the night of the murder.,Latin,True
847,aliquid stat pro aliquo,Latin,True
848,alis aquilae,Latin,True
849,alis grave nil,Latin,True
850,alis volat propriis,Latin,True
851,alma mater,Latin,True
852,alter ego,Latin,True
853,alterius non sit qui suus esse potest,Latin,True
854,alterum non laedere,Latin,True
855,alumnus or,Latin,True
856,alumna,Latin,True
857,a mari usque ad mare,Latin,True
858,amicus certus in re incerta,Latin,True
859,amicus curiae,Latin,True
860,"Amicus Plato, sed magis amica veritas.",Latin,True
861,amittere legem terrae,Latin,True
862,amat victoria curam,Latin,True
863,amor Dei intellectualis,Latin,True
864,amor et melle et felle est fecundissimus,Latin,True
865,amor fati,Latin,True
866,amor omnibus idem,Latin,True
867,amor patriae,Latin,True
868,amor vincit omnia,Latin,True
869,anglice,Latin,True
870,animus in consulendo liber,Latin,True
873,anno regni,Latin,True
874,annuit cœptis,Latin,True
875,annus horribilis,Latin,True
876,annus mirabilis,Latin,True
877,annus terribilis,Latin,True
878,ante bellum,Latin,True
880,Ante faciem Domini,Latin,True
881,ante litteram,Latin,True
883,ante mortem,Latin,True
884,ante omnia armari,Latin,True
886,a pedibus usque ad caput,Latin,True
887,aperire terram gentibus,Latin,True
888,a posse ad esse,Latin,True
889,a posteriori,Latin,True
890,apparatus criticus,Latin,True
891,a priori,Latin,True
892,apud,Latin,True
894,aqua fortis,Latin,True
895,aqua pura,Latin,True
896,aqua regia,Latin,True
897,aqua vitae,Latin,True
898,aquila non capit muscas,Latin,True
899,arare litus,Latin,True
900,arbiter elegantiarum,Latin,True
901,arcana imperii,Latin,True
902,arcanum boni tenoris animae,Latin,True
903,arcus senilis,Latin,True
904,arduus ad solem,Latin,True
905,argentum album,Latin,True
906,arguendo,Latin,True
907,argumentum,Latin,True
908,ars celare artem,Latin,True
909,ars gratia artis,Latin,True
910,"ars longa, vita brevis",Latin,True
911,arte et labore,Latin,True
912,arte et marte,Latin,True
913,Artis Bohemiae Amicis,Latin,True
914,asinus ad lyram,Latin,True
915,asinus asinum fricat,Latin,True
916,assecuratus non quaerit lucrum sed agit ne in damno sit,Latin,True
917,"astra inclinant, sed non obligant",Latin,True
918,auctores varii,Latin,True
919,auctoritas,Latin,True
920,auctoritas non veritas facit legem,Latin,True
921,"audacter calumniare, semper aliquid haeret",Latin,True
922,audax at fidelis,Latin,True
923,audeamus,Latin,True
924,audemus jura nostra defendere,Latin,True
925,audentes fortuna iuvat,Latin,True
926,audere est facere,Latin,True
927,audi alteram partem,Latin,True
928,audio hostem,Latin,True
929,"audi, vide, tace",Latin,True
930,aurea mediocritas,Latin,True
931,auri sacra fames,Latin,True
932,auribus teneo lupum,Latin,True
933,aurora australis,Latin,True
934,aurora borealis,Latin,True
935,aurora musis amica,Latin,True
936,aurum potestas est,Latin,True
937,auspicium melioris aevi,Latin,True
938,aut Caesar aut nihil,Latin,True
939,aut consiliis aut ense,Latin,True
940,aut cum scuto aut in scuto,Latin,True
941,aut imiteris aut oderis,Latin,True
942,aut neca aut necare,Latin,True
943,aut pax aut bellum,Latin,True
944,aut simul stabunt aut simul cadent,Latin,True
945,aut viam inveniam aut faciam,Latin,True
946,aut vincere aut mori,Latin,True
947,ave atque vale,Latin,True
948,ave Europa nostra vera patria,Latin,True
949,"Ave Imperator, morituri te salutant",Latin,True
950,Ave Maria,Latin,True
951,ave mater Angliae,Latin,True
952,B[edit],Latin,True
953,Latin,Latin,True
954,barba crescit caput nescit,Latin,True
955,barba non facit philosophum,Latin,True
956,barba tenus sapientes,Latin,True
958,beatae memoriae,Latin,True
959,beati pauperes spiritu,Latin,True
960,beati possidentes,Latin,True
961,beati qui ambulant lege domini,Latin,True
962,beatus homo qui invenit sapientiam,Latin,True
963,bella gerant alii,Latin,True
964,Protesilaus amet!,Latin,True
965,Protesilaus should love!,Latin,True
966,bella detesta matribus,Latin,True
967,bello et jure senesco,Latin,True
968,bellum omnium contra omnes,Latin,True
969,bellum se ipsum alet,Latin,True
970,Biblia pauperum,Latin,True
971,bibo ergo sum,Latin,True
972,bis dat qui cito dat,Latin,True
974,bona fide,Latin,True
975,bona notabilia,Latin,True
976,bona officia,Latin,True
977,bona patria,Latin,True
978,bona vacantia,Latin,True
979,boni pastoris est tondere pecus non deglubere,Latin,True
980,bono malum superate,Latin,True
981,bonum commune communitatis,Latin,True
982,bonum commune hominis,Latin,True
983,"boreas domus, mare amicus",Latin,True
984,brutum fulmen,Latin,True
985,busillis,Latin,True
986,C[edit],Latin,True
987,Latin,Latin,True
988,cacoethes scribendi,Latin,True
989,cadavera vero innumera,Latin,True
990,Caedite eos. Novit enim Dominus qui sunt eius.,Latin,True
991,Caelum non animum mutant qui trans mare currunt,Latin,True
992,Caesar non supra grammaticos,Latin,True
993,caetera desunt,Latin,True
994,calix meus inebrians,Latin,True
995,calamus gladio fortior,Latin,True
996,camera obscura,Latin,True
997,Cane Nero magna bella Persica,Latin,True
998,canes pugnaces,Latin,True
999,canis canem edit,Latin,True
1000,capax Dei,Latin,True
1001,capax infiniti,Latin,True
1003,caput mortuum,Latin,True
1004,Caritas Christi,Latin,True
1005,Caritas in Veritate,Latin,True
1006,carpe diem,Latin,True
1007,carpe noctem,Latin,True
1008,carpe vinum,Latin,True
1009,Carthago delenda est,Latin,True
1010,castigat ridendo mores,Latin,True
1011,casus belli,Latin,True
1012,"causa latet, vis est notissima",Latin,True
1013,causa mortis,Latin,True
1014,cave,Latin,True
1015,cave canem,Latin,True
1016,caveat emptor,Latin,True
1017,caveat venditor,Latin,True
1018,cedant arma togae,Latin,True
1019,cedere nescio,Latin,True
1020,Celer - Silens - Mortalis,Latin,True
1021,celerius quam asparagi cocuntur,Latin,True
1022,cepi corpus,Latin,True
1023,certum est quod certum reddi potest,Latin,True
1024,cessante ratione legis cessat ipsa lex,Latin,True
1025,cetera desunt,Latin,True
1026,ceteris paribus,Latin,True
1027,charta pardonationis se defendendo,Latin,True
1028,charta pardonationis utlagariae,Latin,True
1029,Christianos ad leones,Latin,True
1030,Christo et Doctrinae,Latin,True
1031,Christus nos liberavit,Latin,True
1032,Christus Rex,Latin,True
1034,circulus in probando,Latin,True
1035,circulus vitiosus,Latin,True
1036,citius altius fortius,Latin,True
1037,clamea admittenda in itinere per atturnatum,Latin,True
1038,clarere audere gaudere,Latin,True
1039,clausum fregit,Latin,True
1040,claves Sancti Petri,Latin,True
1041,clavis aurea,Latin,True
1042,clerico admittendo,Latin,True
1043,clerico capto per statutum mercatorum,Latin,True
1044,clerico convicto commisso gaolae in defectu ordinarii deliberando,Latin,True
1045,clerico intra sacros ordines constituto non eligendo in officium,Latin,True
1046,Codex Iuris Canonici,Latin,True
1047,Cogitationis poenam nemo patitur,Latin,True
1048,cogito ergo sum,Latin,True
1049,coitus interruptus,Latin,True
1050,coitus more ferarum,Latin,True
1051,collige virgo rosas,Latin,True
1053,combinatio nova,Latin,True
1054,communibus annis,Latin,True
